# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0042552	BP	e	myelination	13/574	46/20670	2.2424160414824975e-10	4	13	2.7897897972083753e-06	3792, 4118, 4155, 5653, 8537, 9444, 9514, 10215, 23114, 51090, 55331, 83700, 256987
GO:0022010	BP	e	central nervous system myelination	7/574	14/20670	3.558234641424997e-08	5	7	0.00020664028742544433	443, 745, 4118, 5354, 6663, 6900, 84504
GO:0014003	BP	e	oligodendrocyte development	8/574	21/20670	4.9828861207003696e-08	5	8	0.00020664028742544433	745, 4821, 6663, 11076, 56978, 79885, 116448, 118738
GO:0071526	BP	e	semaphorin-plexin signaling pathway	9/574	34/20670	2.6028022472505953e-07	6	9	0.0008095365689511165	5364, 5365, 7869, 8482, 9723, 10507, 10512, 54910, 57556
GO:0007015	BP	e	actin filament organization	16/574	127/20670	4.811958820332363e-07	5	16	0.0011973115936750986	391, 1495, 3092, 4642, 4643, 7018, 9026, 9844, 9886, 10435, 29119, 57471, 57477, 65108, 84327, 134549
GO:0048709	BP	e	oligodendrocyte differentiation	7/574	24/20670	2.816990786818512e-06	5	7	0.005594946876577007	666, 745, 1267, 6663, 11076, 11221, 30812
GO:0008360	BP	e	regulation of cell shape	16/574	146/20670	3.1480289475153965e-06	6	16	0.005594946876577007	391, 1902, 3249, 5364, 5365, 5962, 9723, 9886, 10435, 10507, 11135, 23136, 57471, 58480, 114793, 161176
GO:0001755	BP	e	neural crest cell migration	9/574	46/20670	4.0625201610058516e-06	6	9	0.006317726665384225	6663, 7869, 8482, 9723, 10507, 10512, 30812, 54910, 57556
GO:0048843	BP	e	negative regulation of axon extension involved in axon guidance	7/574	27/20670	6.722818427612906e-06	11	7	0.009293176006436907	7869, 8482, 9723, 10507, 10512, 54910, 57556
GO:0050919	BP	e	negative chemotaxis	8/574	38/20670	7.895396178611523e-06	4	8	0.009822662385810596	5154, 7869, 8482, 9723, 10507, 10512, 54910, 57556
GO:0007155	BP	e	cell adhesion	31/574	485/20670	1.7369335624762837e-05	2	31	0.01964471859160677	333, 780, 928, 933, 976, 1307, 1462, 1495, 3673, 3959, 4099, 4162, 4340, 4815, 5010, 5101, 5796, 5818, 6695, 6696, 6900, 7058, 9638, 10085, 10278, 10507, 51148, 60484, 79987, 80781, 85445
GO:0006897	BP	e	endocytosis	17/574	193/20670	2.914135383182804e-05	5	17	0.030212298585147717	274, 333, 1785, 3092, 3959, 4036, 4643, 4864, 5168, 6272, 9026, 22905, 23048, 58480, 79962, 85377, 92737
GO:0007417	BP	e	central nervous system development	14/574	141/20670	3.9425812654522156e-05	4	14	0.0377305027103777	333, 1462, 2934, 4118, 4155, 4340, 5455, 5653, 6285, 6457, 7368, 60484, 65108, 92737
GO:0005886	CC	e	plasma membrane	212/574	4778/20670	4.139650818700254e-14	3	212	7.463790426116557e-11	20, 134, 274, 322, 333, 391, 590, 760, 780, 825, 928, 933, 950, 976, 1133, 1267, 1318, 1368, 1495, 1525, 1604, 1785, 1902, 2065, 2180, 2263, 2318, 2346, 2696, 2770, 2861, 2934, 3249, 3306, 3673, 3728, 3732, 3759, 3792, 3916, 3920, 3993, 3996, 4036, 4099, 4155, 4162, 4340, 4642, 4643, 5010, 5027, 5046, 5158, 5168, 5287, 5305, 5334, 5337, 5354, 5358, 5364, 5365, 5376, 5588, 5638, 5663, 5789, 5796, 5818, 5962, 6272, 6422, 6522, 6536, 6558, 6579, 6814, 6900, 7018, 7039, 7368, 8073, 8291, 8437, 8482, 8502, 8549, 8612, 8633, 8728, 8871, 9026, 9138, 9267, 9341, 9363, 9414, 9516, 9638, 9651, 9725, 9770, 9771, 9844, 9846, 9886, 10278, 10351, 10397, 10435, 10507, 11135, 11141, 11145, 11322, 22802, 22875, 22905, 22933, 23048, 23114, 23120, 23136, 23149, 23239, 23308, 23446, 23555, 23621, 23632, 23671, 25780, 25861, 25932, 26022, 26119, 28232, 28514, 29116, 51104, 51148, 51421, 53637, 53828, 54207, 54842, 54899, 54933, 55144, 55313, 55357, 55652, 56302, 56996, 57406, 57509, 57580, 57584, 58480, 63895, 64849, 65108, 79602, 79628, 79633, 79885, 79957, 79962, 80005, 83700, 84061, 84445, 84628, 85414, 89853, 90861, 92737, 93185, 93377, 93643, 94015, 94235, 115584, 117584, 118442, 118611, 121227, 121601, 127829, 131096, 133121, 135924, 140803, 143425, 154215, 158747, 219287, 219595, 219699, 221184, 222223, 253832, 256227, 256987, 284119, 285195, 286204, 338328, 342035, 399694, 643965
GO:0043209	CC	e	myelin sheath	11/574	29/20670	1.513853543511072e-10	2	11	1.3647389694752314e-07	760, 4099, 4155, 4642, 5354, 6900, 10382, 22933, 57165, 57471, 256987
GO:0005912	CC	e	adherens junction	19/574	164/20670	1.5900245214643194e-07	5	19	7.167035530500419e-05	1495, 1525, 3728, 4643, 5796, 5818, 5962, 8502, 9267, 9414, 10397, 11135, 11155, 23150, 28513, 28514, 29119, 57477, 134549
GO:0005874	CC	e	microtubule	26/574	294/20670	2.2472785769346279e-07	6	26	8.103686548426268e-05	1155, 1393, 1781, 1783, 1785, 3799, 3925, 4296, 7846, 8632, 9053, 9638, 10382, 10397, 11076, 22933, 23303, 24139, 51673, 54820, 57509, 57698, 79739, 79929, 84445, 134549
GO:0043218	CC	e	compact myelin	4/574	4/20670	5.886576836626092e-07	2	4	0.00017689163394061407	4099, 4155, 5376, 51090
GO:0030424	CC	e	axon	25/574	322/20670	4.126584941291763e-06	5	25	0.001062890378449864	274, 1410, 3996, 4036, 4642, 4752, 5010, 5414, 6900, 8898, 9053, 9638, 11141, 23114, 23176, 23303, 23621, 26119, 57556, 57609, 57698, 80725, 84628, 113451, 342035
GO:0070062	CC	e	extracellular exosome	97/574	2212/20670	5.338436901960909e-06	6	97	0.0012031502167794397	347, 391, 392, 760, 780, 873, 928, 933, 950, 976, 989, 1073, 1267, 1368, 1410, 1465, 1604, 1785, 2346, 2770, 2819, 2934, 3249, 3306, 3728, 3732, 3916, 3920, 3925, 3959, 4036, 4124, 4642, 4643, 4864, 5151, 5789, 5962, 6035, 6050, 6414, 6422, 6558, 6624, 6696, 6814, 6856, 6888, 7018, 7103, 7846, 8291, 8537, 8898, 8985, 9144, 9586, 9725, 10085, 10382, 10397, 10512, 11240, 11322, 22875, 23052, 23308, 23446, 23452, 23500, 25932, 26022, 51125, 55619, 56996, 57471, 57609, 57636, 64849, 64856, 65108, 79633, 80781, 83543, 83986, 89853, 93185, 114876, 127829, 133121, 139221, 152007, 219595, 221184, 256987, 286204, 442906
GO:0033270	CC	e	paranode region of axon	5/574	11/20670	6.527294846904917e-06	2	5	0.0012360336887827985	4099, 22933, 23136, 57165, 57471
GO:0031902	CC	e	late endosome membrane	14/574	121/20670	6.855428113049354e-06	7	14	0.0012360336887827985	950, 3916, 3920, 4864, 5337, 11342, 23120, 23555, 57406, 85377, 89853, 127829, 285195, 338382
